Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM 6.0 NGFS,Low demand,GCAM 6.0 NGFS|India,Price|Carbon|Demand|Residential and Commercial,US$2010/t CO2,0,0,81.82453703,136.5733621,207.3284058,385.3849784,585.3953226,893.112767,1271.406241,1090.019519,1055.419859,1097.519075,1155.560015,1218.239599,1265.490109,1335.402713,1363.020179
GCAM 6.0 NGFS,Low demand,GCAM 6.0 NGFS|India,Price|Carbon|Demand|Transportation,US$2010/t CO2,0,0,81.82453703,136.5733621,207.3284058,385.3849784,585.3953226,893.112767,1271.406241,1090.019519,1055.419859,1097.519075,1155.560015,1218.239599,1265.490109,1335.402713,1363.020179
GCAM 6.0 NGFS,Low demand,GCAM 6.0 NGFS|India,Price|Carbon|Supply,US$2010/t CO2,0,0,81.82453703,136.5733621,207.3284058,385.3849784,585.3953226,893.112767,1271.406241,1090.019519,1055.419859,1097.519075,1155.560015,1218.239599,1265.490109,1335.402713,1363.020179
GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),GCAM 6.0 NGFS|India,Price|Carbon,US$2010/t CO2,0,0,0,8.265014966,12.57800377,19.77956186,30.05903857,34.46546175,43.07738286,56.25659138,65.7571313,75.10263631,82.67247469,86.6967678,104.3686816,106.1659704,107.7830467
GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),GCAM 6.0 NGFS|India,Price|Carbon|Demand|Industry,US$2010/t CO2,0,0,0,8.265014966,12.57800377,19.77956186,30.05903857,34.46546175,43.07738286,56.25659138,65.7571313,75.10263631,82.67247469,86.6967678,104.3686816,106.1659704,107.7830467
GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),GCAM 6.0 NGFS|India,Price|Carbon|Demand|Residential and Commercial,US$2010/t CO2,0,0,0,8.265014966,12.57800377,19.77956186,30.05903857,34.46546175,43.07738286,56.25659138,65.7571313,75.10263631,82.67247469,86.6967678,104.3686816,106.1659704,107.7830467
GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),GCAM 6.0 NGFS|India,Price|Carbon|Demand|Transportation,US$2010/t CO2,0,0,0,8.265014966,12.57800377,19.77956186,30.05903857,34.46546175,43.07738286,56.25659138,65.7571313,75.10263631,82.67247469,86.6967678,104.3686816,106.1659704,107.7830467
GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),GCAM 6.0 NGFS|India,Price|Carbon|Supply,US$2010/t CO2,0,0,0,8.265014966,12.57800377,19.77956186,30.05903857,34.46546175,43.07738286,56.25659138,65.7571313,75.10263631,82.67247469,86.6967678,104.3686816,106.1659704,107.7830467
GCAM 6.0 NGFS,Net Zero 2050,GCAM 6.0 NGFS|India,Price|Carbon,US$2010/t CO2,0,0,125.975175,194.3443346,301.516461,556.9474482,816.7363637,1181.407437,1713.404598,1514.608488,1490.489188,1549.596768,1630.128107,1714.988022,1782.8189,1884.966365,1908.747234
GCAM 6.0 NGFS,Net Zero 2050,GCAM 6.0 NGFS|India,Price|Carbon|Demand|Industry,US$2010/t CO2,0,0,125.975175,194.3443346,301.516461,556.9474482,816.7363637,1181.407437,1713.404598,1514.608488,1490.489188,1549.596768,1630.128107,1714.988022,1782.8189,1884.966365,1908.747234
GCAM 6.0 NGFS,Net Zero 2050,GCAM 6.0 NGFS|India,Price|Carbon|Demand|Residential and Commercial,US$2010/t CO2,0,0,125.975175,194.3443346,301.516461,556.9474482,816.7363637,1181.407437,1713.404598,1514.608488,1490.489188,1549.596768,1630.128107,1714.988022,1782.8189,1884.966365,1908.747234
GCAM 6.0 NGFS,Net Zero 2050,GCAM 6.0 NGFS|India,Price|Carbon|Demand|Transportation,US$2010/t CO2,0,0,125.975175,194.3443346,301.516461,556.9474482,816.7363637,1181.407437,1713.404598,1514.608488,1490.489188,1549.596768,1630.128107,1714.988022,1782.8189,1884.966365,1908.747234
